ID,中藥中文名,中藥拉丁學名,中藥英文名,中藥基原,西藥學名,建議處理方式,項次_x,研究設計,可能交互作用機轉,可能交互作用結果,參考文獻,項次_y,篇名,連結
1,人參,拉丁學名：GINSENG RADIX,英文名：Ginseng Root,基原：本品為五加科Araliaceae植物人參,學名：Warfarin,人參含有多種成份，有些成份可能減少抗凝血作用而發生血栓，也有些成份可能增加抗凝血作用而導致出血。有些研究，認為人參不會妨礙Warfarin的作用。各產地的人參，成份含量比例不同，人參對於Warfarin交互作用的影響，尚無一致的定論。對於正在使用Warfarin治療的病人，若病情需要，開立人參處方，宜作衛教，提醒病人，定期抽血檢驗INR，並觀察身體症狀。若發生血栓，可能有腦梗塞的神經學症狀，或心肌梗塞的胸悶等症狀。若牙齦出血、皮膚瘀青、大便顏色變黑，為出血徵象。,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14']","[None, '文獻回顧', '文獻回顧', '隨機雙盲交叉試驗', '個案\r\r\n報告', '個案報告', '動物實驗', '臨床問卷調查，對照INR驗血報告', '文獻回顧', '文獻回顧', '隨機開放三種交叉給藥方式試驗 (open-label, three-way crossover randomized study)', '動物實驗', '個案報告', '文獻回顧 (評論)']","[None, '本項研究無描述機轉', '本項研究無描述機轉', '人參皂甙可能誘導肝臟對Warfarin的代謝。韓國紅參含有Vitamin K，會拮抗Warfarin的作用，然而韓國紅參的Vitamin \r\r\nK成分，需要進一步研究去分析。', '本項研究無描述機轉', '本項研究無描述機轉', '本項研究無描述機轉', '本項研究無描述機轉', '本項研究無描述機轉', '本項研究無描述機轉', '本項研究無描述機轉', '機制未明。', '機制未明。', '本項研究無描述機轉']","[None, '人參降低抗凝血效果。', '隨機雙盲交叉試驗 25個病患，發現有降低抗凝血效應。', '25個心臟瓣膜置換手\r\r\n術後病患，使用Warfarin治療，INR穩定。隨機分配為A、B組， A組連續六週，每天使用1公克韓國紅參，經過三週洗除期，使用六週安慰劑；B組先用六週安慰劑\r\r\n，經過三週洗除期，連續六週每天使用1公克韓國紅參。兩組的INR皆在穩定範圍，沒有統計學上的顯著差異。\n服用Warfarin的病患，在適當衛教之下，並且密切\r\r\n監測，可以使用韓國紅參。病人若服用更高劑量的韓國紅參，對於抗凝血的影響，尚待研究。', '一位47歲男性個案報告，人工心臟瓣膜置換手術後，長期Warfarin治療，INR維持在3.0至4.0之間 (治療目標設定在2.5至3.5之間)。在服用人參膠\r\r\n囊(Ginsana 100 mg)一天三次，兩個星期後，INR值從3.1降到1.5，低於理想治療範圍，病人沒有發生血栓。停用人參兩個星期後，INR值回復至3.3。', '人參可能減弱warfarin的抗凝血作用。(該病例同時服用多種西藥，無法確認是否人參造成。)', '在大鼠實驗，人參對於Warfarin的藥物動力學及藥物效力學方面，無顯著影響。', '250位心房顫動患者的問卷調查，在Warfarin治療期間，有4%服用人參。概略結論，若使用人參或其他草藥，可能會 INR偏離理想治療範圍。(本項\r\r\n研究，沒有針對人參作個別統計分析。)', '人參可能會造成warfarin治療效果降低。', '人參可能會導致INR下降，但病患在Warfarin治療期間，也合併使用其他西藥 (diltiazem, nitroglycerin,  salsalate)，故其交互作用無法確定\r\r\n。', '合併使用warfarin及人參，並不會影響S或R form warfarin的藥物動力學與藥物效力學。有個案例發現，併用人參會導致warfarin治療中的INR下降\r\r\n。', '在大鼠實驗，人參對於Warfarin的藥物動力學及藥物效力學方面，皆無顯著影響。', '併用人參可能會抑制Warfarin的抗凝血作用。', '一個案例報告指出，人參會干擾Warfarin的抗凝血作用。']","[None, '113', '117', '121', '82', '81', '124', '93', '104', '131', '94', '130', '88', '144']","[None, None, None, None, None, None, None, None, None, None, None, None, None]","['Izzo AA, Di Carlo G, Borrelli F, Ernst E. Cardiovascular pharmacotherapy and herbal medicines: the risk of drug \r\r\ninteraction.Int J Cardiol. 2005; 98(1):1-14. [SCI] Impact Factor: 3.469.', 'Ulbricht C, Chao W, Costa D, Rusie-Seamon E, Weissner W, Woods J. Clinical Evidence of Herb-Drug Interactions: A \r\r\nSystematic Review by the Natural Standard Research Collaboration. Current Drug Metabolism. 2008; 9(10):1063-120. [SCI] Impact Factor: 3.989.', 'Brazier NC, Levine MA. Drug-herb interaction among commonly used conventional medicines: a compendium for health care \r\r\nprofessionals. Am J Ther. 2003; 10(3):163-9.', 'Chan HT, So LT, Li SW, Siu CW, Lau CP, Tse HF . Effect of herbal consumption on time in therapeutic range of warfarin \r\r\ntherapy in patients with atrial fibrillation. J Cardiovasc Pharmacol. 2011; 58(1):87-90.', ""Jiang X, Williams KM, Liauw WS, Ammit AJ, Roufogalis BD, Duke CC, Day RO, McLachlan AJ . Effect of St John's wort and \r\r\nginseng on the pharmacokinetics and pharmacodynamics of warfarin in healthy subjects. Br J Clin Pharmacol. 2004; 57(5):592-9."", 'Cupp MJ. Herbal remedies: adverse effects and drug interactions. Am Fam Physician. 1999; 59(5):1239-45.', 'Peng CC, Glassman PA, Trilli LE, Hayes-Hunter J, Good CB. Incidence and severity of potential drug-dietary supplement \r\r\ninteractions in primary care patients: an exploratory study of 2 outpatient practices. Arch Intern Med. 2004; 164(6):630-6. [SCI] Impact', 'Lee YH, Lee BK, Choi YJ, Yoon IK, Chang BC, Gwak HS. Interaction between warfarin and Korean red ginseng in patients \r\r\nwith cardiac valve replacement. International Journal of Cardiology. 2010; 145(2):275-6. [SCI] Impact Factor: 6.802', 'Izzo AA, Ernst E. Interactions Between Herbal Medicines and Prescribed DrugsDrugs. 2009; 69(13):1777-98. [SCI] Impact \r\r\nFactor: 4.732', 'Kiefer D, Pantuso T. Panax ginseng. Am Fam Physician. 2003; 68(8):1539-42. [SCI] Impact Factor: 1.258.', 'Zhu M, Chan KW, Ng LS, Chang Q, Chang S, Li RC . Possible influences of ginseng on the pharmacokinetics and \r\r\npharmacodynamics of warfarin in rats. J Pharm Pharmacol. 1999; 51(2):175-80.', 'Saw JT, Bahari MB, Ang HH, Lim YH . Potential drug-herb interaction with antiplatelet/anticoagulant drugs. Complement \r\r\nTher Clin Pract. 2006; 12(4):236-41.', 'Shaw HS, Kroll DJ. The convergence of herb pharmacodynamics and herb-drug interactions on hemostasis. Altern Ther Health \r\r\nMed. 2001; 7(6):46-7.']","[None, None, None, None, None, None, None, None, None, None, None, None, None]"
2,人參,拉丁學名：GINSENG RADIX,英文名：Ginseng Root,基原：本品為五加科Araliaceae植物人參,學名：降血糖藥,"若須併用，衛教病人低血糖發生之徵象及處理方式，對於低血糖較
敏感之老年人或已併用多種降血糖藥品者，須特別留意。","['1', '2']","['文獻回顧', '文獻回顧']","['詳細機轉未明，可能是人參有降血糖加成作用。', '機制未明。']","['可能增加低\r\r\n血糖發生率，然而臨床實際交互作用影響程度，因資料有限，仍待確認。', '降血糖作用增加。']","[None, None]",[None],['無相關文獻。'],[None]
3,三七,拉丁學名：NOTOGINSENG RADIX,英文名：Notoginseng Root,基原：本品為五加科Araliaceae植物三七,學名：Warfarin,不須特別處理，依照醫師指示服藥，定期檢查。,['1'],['人體試驗'],['機制未明。'],['在健康受試者，沒有交互作用影響。'],"['1,2,40']","[None, None, None]","['Natural Standard Professional Database Interaction Checker', ""Stockley's Herbal Medicines Interactions (Second edition)"", 'Absence of an effect of T89 on the steady-state pharmacokinetics and pharmacodynamics of warfarin in healthy volunteers.J \r\r\nClin Pharmacol. 2013 Oct 19.']","[None, None, None]"
4,山楂,拉丁學名：CRATAEGI FRUCTUS,英文名：Hawthorn Fruit,基原：本品為薔薇科Rosaceae植物山楂Crataegus pinnatifida Bunge或山里紅Crataegus pinnatifida Bunge var. major N. E. Br.之乾燥成熟果實。,學名：Digoxin,Digoxin臨床治療期間，若服用山楂，建議由醫師追蹤觀察病人的臨床症狀，調整用藥。,"['1', '2', '3']","['文獻回顧', '文獻回顧', '文獻回顧']","['機制未明。', '山楂可能具有beta-block的作用，也可能抑制血管收縮素轉換酶(ACE)。', '機制未明。']","['交互作用影響仍待確認，現況有限資料並未發現交互作用存在。', '山楂併用Digoxin可能會增強Digoxin的效用，但\r\r\n缺乏臨床試驗證據。', '離體動物實驗，山楂可能強化強心苷之肌力(ionotropic)效用而不造成毒性。山楂併用強心苷可降低其作\r\r\n用劑量與可能毒性。']","['1,2,14', '101', '82']","[None, None, None, None, None]","['Natural Standard Professional Database Interaction Checker', ""Stockley's Herbal Medicines Interactions (Second edition)"", 'Interaction study between digoxin and a preparation of hawthorn (Crataegus oxyacantha).J Clin Pharmacol. 2003 Jun;43\r\r\n(6):637-42.', 'Ulbricht C, Chao W, Costa D, Rusie-Seamon E, Weissner W, Woods J. Clinical Evidence of Herb-Drug Interactions: A \r\r\nSystematic Review by the Natural Standard Research Collaboration. Current Drug Metabolism. 2008; 9(10):1063-120. [SCI] Impact Factor: 3.989.', 'Miller LG . Herbal medicinals: selected clinical considerations focusing on known or potential drug-herb interactions. \r\r\nArch Intern Med. 1998; 158(20):2200-11. [SCI] Impact Factor: 9.813.']","[None, None, None, None, None]"
5,山楂,拉丁學名：CRATAEGI FRUCTUS,英文名：Hawthorn Fruit,基原：本品為薔薇科Rosaceae植物山楂Crataegus pinnatifida Bunge或山里紅Crataegus pinnatifida Bunge var. major N. E. Br.之乾燥成熟果實。,學名：降血糖藥,由醫師調整用藥。,['1'],['文獻回顧'],['機制未明。'],['交互作用影響仍待確認，現況有限資料並未發現交互作用存在。'],[None],[None],['無相關文獻。'],[None]
6,山楂,拉丁學名：CRATAEGI FRUCTUS,英文名：Hawthorn Fruit,基原：本品為薔薇科Rosaceae植物山楂Crataegus pinnatifida Bunge或山里紅Crataegus pinnatifida Bunge var. major N. E. Br.之乾燥成熟果實。,學名：降血壓藥,若合併使用，建議由醫師指導用藥，並規律量測血壓，注意血壓的變化。,"['1', '2']","['文獻回顧', '文獻回顧']","['機制未明。', '機制未明。']","['可能加成降血壓作用，然而臨床實際交互作用影響程度，因資料有限，仍待確認。', '文獻回顧提到一項臨床問卷調查，1818位病人，其中一人併用山楂與降壓藥，可能有潛在交互作用的風險\r\r\n。(原始文獻，無描述血壓、症狀資料，也無明確指出病人是否發生交互作用反應。)']","['2,3,72', '82']","[None, None, None, None]","[""Stockley's Herbal Medicines Interactions (Second edition)"", ""Lexi-Comp's Comprehensive Drug-to-Drug, Drug-to-Herb and Herb-to-Herb Interaction Analysis Program."", 'Hypotensive effects of hawthorn for patients with diabetes taking prescription drugs: a randomised controlled trial.Br J \r\r\nGen Pract. 2006 Jun;56(527):437-43.', 'Ulbricht C, Chao W, Costa D, Rusie-Seamon E, Weissner W, Woods J. Clinical Evidence of Herb-Drug Interactions: A \r\r\nSystematic Review by the Natural Standard Research Collaboration. Current Drug Metabolism. 2008; 9(10):1063-120. [SCI] Impact Factor: 3.989.']","[None, None, None, None]"
7,丹參,拉丁學名：SALVIAE MILTIORRHIZAE RADIX ET RHIZOMA,英文名：Red Sage Root and Rhizome,基原：,學名：Warfarin,"使用Warfarin治療的病人，在不確定風險的情況，避免合併使用丹參，比較安全。若病情需要而使用丹參，宜嚴密監控INR，觀察身體有無出血症狀
，例如牙齦出血、皮膚瘀青、大便顏色變黑。若發生出血，建議及早回診，由醫師調整用藥。","['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']","['文獻回顧', '文獻回顧', '文獻回顧', '文獻回顧', '文獻回顧(3個案例)', '文獻回顧', '動物實驗', '動物實驗', '臨床調查(cross-sectional \r\r\nsurvey)', '動物實驗']","['詳細機轉未明，丹參可能加成warfarin之抗凝血效果，也可能增加warfarin的吸收以及減少排除，進而使warfarin血中濃\r\r\n度上升。', 'warfarin主要是由CYP2C9代謝，其他少量由CYP1A2及3A4代謝，可能因為影響warfarin代謝，而產生交互作用。另外，\r\r\n丹參根萃取物可能會改變warfarin與血漿蛋白的結合狀況。', '本篇無描述機轉', '本篇無描述機轉', '在老鼠實驗中，發現丹參會降低Warfarin的清除率。', '丹參在大鼠體內會降低Warfarin的排除作用', '丹參酮會抑制 CYP1A1, CYP2C6, CYP2C11對於Warfarin的代謝。', '丹參只影響Warfarin初期的生體可用率，Vd的下降可能是丹參抑制warfarin在肝臟吸收的結果。\n吸收率(Ka)下降，達\r\r\n到藥物最高血中濃度的時間之延長，機制不明\nPT只在warfarin和丹參並用初期增加，可能只是反映AUC(0~48hr)增加的結果', '本篇無描述機轉', '本篇無描述機轉']","['增加抗凝血作用。', '三例個案報告指出，長期接受warfarin治療期間，服用丹參，會增加抗凝\r\r\n血效果，可能造成出血。', '丹參使Warfarin的抗凝血作用增加', '在動物試驗中發現，併用丹參與Warfarin，會使Warfarin血中濃度增加，凝血酶時間\r\r\n(PT)延長；而在個案報告，發現併用丹參與Warfarin，會使抗凝血作用增加，INR上升。', '併用丹參和warfarin，增加抗凝血作用增強。在動\r\r\n物試驗中顯示，丹參增加warfarin的吸收且減少其代謝。', '併用丹參會使INR增加，PT及PTT延長。', '大鼠實驗，併用丹參，warfarin 的血\r\r\n中穩態濃度會上升百分之23%。', '藥物效力學方面，丹參\r\r\n明顯增加Warfarin之AUC(0~48hr)，但不影響total AUC。藥物動力學方面，丹參本身不影響凝血功能，但在Warfarin使用後，明顯使PT延長。', '250位接受問卷調查(是否服用各種草藥)，其中4人在Warfarin治療期間，有服用丹參。\r\r\n本篇文章，沒有描述病人的劑量，也無INR，僅引用其他文獻，說這些人可能會增加出血時間(increase bleeding time)。', '丹參萃取物使R-warfarin 及 S-warfarin的吸收率增加，血清濃度時間曲線下面積\r\r\n（AUC）變大，半衰期延長。']","[None, '189', '105', '207,223', '81', '213', '214', '215', '131', '218']","[None, None, None, None, None, None, None, None, None, None]","['Izzo AA, Di Carlo G, Borrelli F, Ernst E. Cardiovascular pharmacotherapy and herbal medicines: the risk of drug \r\r\ninteraction.Int J Cardiol. 2005; 98(1):1-14. [SCI] Impact Factor: 3.469.', 'Dasgupta A, Bernard DW. Herbal remedies: effects on clinical laboratory tests. Arch Pathol Lab Med. 2006; 130(4):521-8. \r\r\n[SCI] Impact Factor: 1.698', 'Saw JT, Bahari MB, Ang HH, Lim YH . Potential drug-herb interaction with antiplatelet/anticoagulant drugs. Complement \r\r\nTher Clin Pract. 2006; 12(4):236-41.', 'Hu Z, Yang X, Ho PCL, Chan SY, Heng PWS, Chan E, Duan W, Koh HL, Zhou S (2005) Herb-drug interactions: a literature \r\r\nreview. Drugs 65: 1239-1282.', 'Ulbricht C, Chao W, Costa D, Rusie-Seamon E, Weissner W, Woods J. Clinical Evidence of Herb-Drug Interactions: A \r\r\nSystematic Review by the Natural Standard Research Collaboration\xa0Current Drug Metabolism. 2008; 9(10):1063-120.\xa0[SCI]\xa0Impact Factor: 3.989', 'Cheng KF, Leung KS, Leung PC. Interactions between modern and Chinese medicinal drugs: a general review.\xa0Am J Chin Med. \r\r\n2003; 31(2):163-9.\xa0[SCI]\xa0Impact Factor: 0.627', 'Wu WW, Yeung JH\xa0. \xa0Inhibition of warfarin hydroxylation by major tanshinones of Danshen (Salvia miltiorrhiza) in the rat \r\r\nin vitro and in vivo.\xa0Phytomedicine : international journal of phytotherapy and phytopharmacology. 2010; 17(3-4):219-26.', 'Lo AC, Chan K, Yeung JH, Woo KS. The effects of Danshen (Salvia miltiorrhiza) on pharmacokinetics and pharmacodynamics \r\r\nof warfarin in rats.\xa0Eur J Drug Metab Pharmacokinet. 1992; 17(4):257-62.', 'Chan K, Lo AC, Yeung JH, Woo KS\xa0. The effects of Danshen (Salvia miltiorrhiza) on warfarin pharmacodynamics and \r\r\npharmacokinetics of warfarin enantiomers in rats.J Pharm Pharmacol. 1995; 47(5):402-6.', 'Ulbricht C, Chao W, Costa D, Rusie-Seamon E, Weissner W, Woods J. Clinical Evidence of Herb-Drug Interactions: A \r\r\nSystematic Review by the Natural Standard Research CollaborationArch Intern Med. 1998; 158(20):2200-11. [SCI] Impact Factor: 9.813']","[None, None, None, None, None, None, None, None, None, None]"
8,甘草,拉丁學名：GLYCYRRHIZAE RADIX ET RHIZOMA,英文名：Liquorice Root and Rhizome,基原：,學名：Cilostazol,"對於已長期或大量服用甘草者，併用Cilostazol期間建議定期監測病人是否產生假性醛固酮症之相關症狀(
如高血壓、代謝性鹼中毒、低血鉀)。",['1'],['文獻回顧'],['確實機轉未明，可能是cilostazol與甘草皆會與血漿中的白蛋白結合(>9%)，兩者併用競爭血漿蛋白的結合部位，造成\r\r\n甘草游離型式比率增加，導致甘草血中濃度提升。'],['併用可能增加假性醛固酮症發生\r\r\n機會，然而臨床實際交互作用影響程度，因資料有限，仍待確認。'],"['2,13']","[None, None]","[""Stockley's Herbal Medicines Interactions (Second edition)"", 'Pseudoaldosteronism caused by combined administration of\xa0cilostazol\xa0and\xa0glycyrrhizin. Intern Med. 2008;47(14):1345-8.']","[None, None]"
9,甘草,拉丁學名：GLYCYRRHIZAE RADIX ET RHIZOMA,英文名：Liquorice Root and Rhizome,基原：,學名：Enalapril,若合併使用，建議由醫師指導用藥，並規律量測血壓，追蹤腎功能。,['1'],['個案報告'],['機制尚未確立，但推測，ACE抑制劑Enalapril與甘草皆會透過抑制11β-OHSD代謝，進而影響Renin-Angiotension-\r\r\nAldosterone系統調節。'],['併用ACE抑制劑(例如Enalapril)可能會遮蔽甘草所引起的假性醛固酮症狀。'],['18'],[None],['Pseudoaldosteronism due to the concurrent use of two herbal medicines containing glycyrrhizin: interaction of \r\r\nglycyrrhizin with angiotensin-converting enzyme inhibitor. Clin Exp Nephrol. 2006 Jun;10(2):131-5.'],[None]
10,甘草,拉丁學名：GLYCYRRHIZAE RADIX ET RHIZOMA,英文名：Liquorice Root and Rhizome,基原：,學名：Hydrochlorothiazide,"對於需長期併用或需使用大量甘草之病人，併用時請定期監測血鉀值並衛教低血鉀之症狀(如抽筋、肌肉無力、心
律不整等)。若非必要，應避免同時使用利尿劑及高劑量甘草。","['1', '2']","['文獻回顧', '體外試驗']","['詳細機轉未明，可能是甘草內含之甘草素( Glycyrrhizin)，具有抑制11 β -hydroxysteroid dehy-\r\r\ndrogenase( 11 β –OHSD)代謝酶作用，使得cortisol無法轉化成非活性代謝物cortisone，造成cortisol過量，進而引發低血鉀; 而Hydrochlorothiazide本身也\r\r\n會導致低血鉀，兩者併用提高低血鉀風險。', '機制未明。']","['可能增\r\r\n加低血鉀的發生率。', '甘草在胎牛血清蛋白實驗中幾乎不會影響Hydrochlorothiazide的藥效。']","['1,3,4,21,22,23,24', '119']","[None, None, None, None, None, None, None, None]","['Natural Standard Professional Database Interaction Checker', ""Lexi-Comp's Comprehensive Drug-to-Drug, Drug-to-Herb and Herb-to-Herb Interaction Analysis Program."", 'Micromedex 2.0', 'Effects of low-dose liquorice alone or in combination with hydrochlorothiazide on the plasma potassium in healthy \r\r\nvolunteers.Blood Press. 2009;18(4):192-5.', 'Licorice-related rhabdomyolysis: a big price for a sweet tooth.Clin Nephrol. 2012 Jun;77(6):491-5.', 'Licorice hypertension also caused by licorice tea.Ned Tijdschr Geneeskd. 2001 Apr 14;145(15):744-7.', 'Hypokalemic rhabdomyolysis with myoglobinuria due to licorice ingestion and diuretic treatment.Klin Wochenschr. 1983 Mar \r\r\n15;61(6):303-5.', 'Zhou N, Liang YZ, Wang B, Wang P, Chen X, Zeng MM. Interaction of glycyrrhetinic acid, furosemide and \r\r\nhydrochlorothiazide with bovine serum albumin and their displacement interactions: capillary electrophoresis and fluorescence quenching study. \r\r\nBiomed Chr']","[None, None, None, None, None, None, None, None]"
